p_id,workclass,education,education_num,education_cat_lev,education_cat,marital_status,occupation,relationship,native_country,income,income_lev
21,Private,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
22,Public-sector,9th,5,1,Less than HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
23,Private,11th,7,1,Less than HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
24,Private,HS-grad,9,2,HS graduate,0,Tech-support,Unmarried,United-States,<=50K,0
25,Public-sector,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,United-States,>50K,1
26,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Own-child,United-States,<=50K,0
27,?,Some-college,10,3,Some college or associate's degree,1,?,Husband,South,>50K,1
28,Private,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,United-States,<=50K,0
29,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
30,Public-sector,Assoc-acdm,12,3,Some college or associate's degree,0,Protective-serv,Not-in-family,United-States,<=50K,0
31,Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,United-States,<=50K,0
32,Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Own-child,United-States,<=50K,0
33,Public-sector,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Own-child,United-States,<=50K,0
34,Public-sector,Some-college,10,3,Some college or associate's degree,1,Other-service,Husband,United-States,<=50K,0
35,Private,11th,7,1,Less than HS graduate,0,Machine-op-inspct,Unmarried,Puerto-Rico,<=50K,0
36,Private,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Own-child,United-States,<=50K,0
37,Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Wife,United-States,<=50K,0
38,Private,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,?,>50K,1
39,Self-emp,Assoc-acdm,12,3,Some college or associate's degree,1,Prof-specialty,Husband,United-States,<=50K,0
40,Private,9th,5,1,Less than HS graduate,1,Machine-op-inspct,Husband,United-States,<=50K,0
41,Self-emp,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,<=50K,0
42,Private,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,United-States,<=50K,0
43,Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
44,Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
45,Public-sector,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
46,Private,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,United-States,<=50K,0
47,Private,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Unmarried,United-States,<=50K,0
48,Public-sector,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,<=50K,0
49,Private,Assoc-voc,11,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
50,Private,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Wife,United-States,<=50K,0
51,Private,HS-grad,9,2,HS graduate,0,Other-service,Own-child,?,<=50K,0
52,Private,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Wife,Honduras,>50K,1
53,Public-sector,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,>50K,1
54,Self-emp,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,United-States,<=50K,0
55,Private,Some-college,10,3,Some college or associate's degree,1,Tech-support,Husband,United-States,>50K,1
56,Private,5th-6th,3,1,Less than HS graduate,1,Machine-op-inspct,Husband,Mexico,<=50K,0
57,Private,Assoc-voc,11,3,Some college or associate's degree,1,Other-service,Husband,Puerto-Rico,<=50K,0
58,Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,United-States,<=50K,0
59,Private,HS-grad,9,2,HS graduate,1,Machine-op-inspct,Husband,United-States,<=50K,0
60,Private,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,United-States,<=50K,0
61,?,7th-8th,4,1,Less than HS graduate,1,?,Not-in-family,?,<=50K,0
62,Private,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
63,Private,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
64,Private,Some-college,10,3,Some college or associate's degree,0,Tech-support,Not-in-family,United-States,<=50K,0
65,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
66,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
67,Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Wife,United-States,>50K,1
68,Self-emp,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
69,?,Some-college,10,3,Some college or associate's degree,0,?,Own-child,United-States,<=50K,0
70,Private,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Own-child,United-States,<=50K,0
71,Private,Bachelors,13,4,Bachelor's degree,0,Sales,Own-child,United-States,<=50K,0
72,Self-emp,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,United-States,>50K,1
73,Private,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Not-in-family,United-States,<=50K,0
74,Private,Some-college,10,3,Some college or associate's degree,1,Prof-specialty,Other-relative,United-States,<=50K,0
75,Private,HS-grad,9,2,HS graduate,0,Other-service,Own-child,Mexico,<=50K,0
76,Private,Assoc-acdm,12,3,Some college or associate's degree,1,Adm-clerical,Husband,United-States,<=50K,0
77,?,10th,6,1,Less than HS graduate,1,?,Husband,United-States,<=50K,0
78,Private,11th,7,1,Less than HS graduate,0,Other-service,Own-child,United-States,<=50K,0
79,Public-sector,7th-8th,4,1,Less than HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
80,Private,HS-grad,9,2,HS graduate,0,Sales,Not-in-family,United-States,<=50K,0
81,Private,Bachelors,13,4,Bachelor's degree,1,Other-service,Husband,Cuba,<=50K,0
82,Private,HS-grad,9,2,HS graduate,1,Other-service,Wife,United-States,<=50K,0
83,Private,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,<=50K,0
84,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,>50K,1
85,Private,HS-grad,9,2,HS graduate,0,Sales,Own-child,United-States,<=50K,0
86,Public-sector,HS-grad,9,2,HS graduate,1,Protective-serv,Husband,United-States,>50K,1
87,Private,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,<=50K,0
88,Private,9th,5,1,Less than HS graduate,0,Sales,Not-in-family,United-States,<=50K,0
89,Public-sector,Doctorate,16,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,>50K,1
90,Private,Assoc-voc,11,3,Some college or associate's degree,1,Prof-specialty,Husband,United-States,<=50K,0
91,Private,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Unmarried,United-States,<=50K,0
92,Private,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Unmarried,United-States,<=50K,0
93,Private,HS-grad,9,2,HS graduate,1,Sales,Wife,?,<=50K,0
94,Public-sector,Bachelors,13,4,Bachelor's degree,1,Protective-serv,Husband,United-States,>50K,1
95,Public-sector,Some-college,10,3,Some college or associate's degree,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
96,Self-emp,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
97,Private,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,>50K,1
98,Private,Assoc-acdm,12,3,Some college or associate's degree,0,Exec-managerial,Unmarried,England,<=50K,0
99,Public-sector,HS-grad,9,2,HS graduate,0,Other-service,Own-child,United-States,<=50K,0
100,Private,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Husband,United-States,>50K,1
101,Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
102,Self-emp,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
103,Private,Some-college,10,3,Some college or associate's degree,0,Tech-support,Own-child,United-States,<=50K,0
104,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
105,Self-emp,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,>50K,1
106,?,10th,6,1,Less than HS graduate,0,?,Own-child,United-States,<=50K,0
107,Private,11th,7,1,Less than HS graduate,0,Handlers-cleaners,Own-child,United-States,<=50K,0
108,Public-sector,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
109,Private,HS-grad,9,2,HS graduate,1,Handlers-cleaners,Husband,United-States,<=50K,0
110,Private,Bachelors,13,4,Bachelor's degree,0,Sales,Other-relative,United-States,<=50K,0
111,Private,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
112,Self-emp,HS-grad,9,2,HS graduate,1,Other-service,Husband,Canada,>50K,1
113,Private,Some-college,10,3,Some college or associate's degree,1,Sales,Wife,United-States,<=50K,0
114,Private,HS-grad,9,2,HS graduate,0,Machine-op-inspct,Own-child,United-States,<=50K,0
115,Private,9th,5,1,Less than HS graduate,1,Handlers-cleaners,Husband,United-States,<=50K,0
116,Self-emp,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,<=50K,0
117,Public-sector,Assoc-voc,11,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,>50K,1
118,Private,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,<=50K,0
119,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
120,Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,United-States,<=50K,0
121,Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,<=50K,0
122,Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Own-child,Germany,<=50K,0
123,Public-sector,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
124,Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,United-States,<=50K,0
125,Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Wife,United-States,>50K,1
126,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
127,Private,Assoc-acdm,12,3,Some college or associate's degree,1,Adm-clerical,Husband,United-States,>50K,1
128,?,HS-grad,9,2,HS graduate,1,?,Husband,United-States,<=50K,0
129,Private,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
130,Private,Assoc-acdm,12,3,Some college or associate's degree,0,Sales,Not-in-family,United-States,<=50K,0
131,Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
132,Self-emp,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
133,Private,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,United-States,<=50K,0
134,Private,Assoc-acdm,12,3,Some college or associate's degree,0,Tech-support,Not-in-family,United-States,<=50K,0
135,Public-sector,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Husband,Iran,>50K,1
136,Self-emp,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
137,Private,Assoc-voc,11,3,Some college or associate's degree,1,Adm-clerical,Wife,United-States,<=50K,0
138,Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,United-States,<=50K,0
139,Private,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,>50K,1
140,Self-emp,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
141,Private,Some-college,10,3,Some college or associate's degree,0,Sales,Own-child,United-States,<=50K,0
142,Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Own-child,Mexico,<=50K,0
143,Private,Assoc-voc,11,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,United-States,>50K,1
144,Private,Some-college,10,3,Some college or associate's degree,0,Tech-support,Other-relative,United-States,<=50K,0
145,Private,HS-grad,9,2,HS graduate,0,Transport-moving,Unmarried,United-States,<=50K,0
146,Private,Some-college,10,3,Some college or associate's degree,1,Other-service,Husband,United-States,<=50K,0
147,Private,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
148,Private,11th,7,1,Less than HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
149,?,Some-college,10,3,Some college or associate's degree,0,?,Not-in-family,United-States,<=50K,0
150,Public-sector,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Unmarried,Mexico,<=50K,0
151,Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
152,Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Other-relative,Philippines,<=50K,0
153,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Own-child,United-States,<=50K,0
154,?,HS-grad,9,2,HS graduate,0,?,Not-in-family,United-States,>50K,1
155,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
156,Private,Bachelors,13,4,Bachelor's degree,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
157,Self-emp,Some-college,10,3,Some college or associate's degree,0,Sales,Unmarried,United-States,<=50K,0
158,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
159,Private,Bachelors,13,4,Bachelor's degree,0,Other-service,Other-relative,United-States,<=50K,0
160,?,1st-4th,2,1,Less than HS graduate,0,?,Not-in-family,United-States,<=50K,0
161,Private,HS-grad,9,2,HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
162,Self-emp,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Unmarried,United-States,<=50K,0
163,Private,HS-grad,9,2,HS graduate,0,Exec-managerial,Not-in-family,England,<=50K,0
164,Self-emp,Masters,14,5,Graduate or professional degree,1,Sales,Husband,United-States,>50K,1
165,Private,Some-college,10,3,Some college or associate's degree,0,Other-service,Unmarried,Mexico,<=50K,0
166,Public-sector,Assoc-acdm,12,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
167,Public-sector,Masters,14,5,Graduate or professional degree,0,Protective-serv,Unmarried,United-States,<=50K,0
168,Private,11th,7,1,Less than HS graduate,0,Handlers-cleaners,Own-child,United-States,<=50K,0
169,Public-sector,Assoc-voc,11,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
170,Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
171,Public-sector,HS-grad,9,2,HS graduate,1,Protective-serv,Husband,United-States,<=50K,0
172,Private,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,>50K,1
173,Private,Bachelors,13,4,Bachelor's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
174,Public-sector,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
175,Private,HS-grad,9,2,HS graduate,1,Sales,Unmarried,United-States,<=50K,0
176,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Own-child,United-States,<=50K,0
177,Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,United-States,<=50K,0
178,Private,HS-grad,9,2,HS graduate,0,Other-service,Own-child,United-States,<=50K,0
179,Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,<=50K,0
180,Public-sector,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,United-States,>50K,1
181,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
182,Private,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
183,Private,7th-8th,4,1,Less than HS graduate,1,Machine-op-inspct,Husband,Mexico,>50K,1
184,Public-sector,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Husband,United-States,>50K,1
185,Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,United-States,<=50K,0
186,Self-emp,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
187,?,Bachelors,13,4,Bachelor's degree,0,?,Not-in-family,United-States,<=50K,0
188,Private,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Wife,United-States,<=50K,0
189,Public-sector,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,United-States,>50K,1
190,Private,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Not-in-family,United-States,<=50K,0
191,Private,Some-college,10,3,Some college or associate's degree,1,Machine-op-inspct,Husband,United-States,<=50K,0
192,Public-sector,Bachelors,13,4,Bachelor's degree,1,Craft-repair,Husband,United-States,<=50K,0
193,Private,Some-college,10,3,Some college or associate's degree,1,Tech-support,Husband,United-States,<=50K,0
194,Public-sector,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,United-States,<=50K,0
195,Private,5th-6th,3,1,Less than HS graduate,1,Transport-moving,Other-relative,Mexico,<=50K,0
196,Private,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
197,Public-sector,Masters,14,5,Graduate or professional degree,0,Exec-managerial,Not-in-family,United-States,>50K,1
198,Private,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Other-relative,United-States,>50K,1
199,Self-emp,HS-grad,9,2,HS graduate,0,Sales,Not-in-family,United-States,<=50K,0
200,Private,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
201,?,HS-grad,9,2,HS graduate,0,?,Own-child,Italy,<=50K,0
202,Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,United-States,>50K,1
203,Public-sector,Some-college,10,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
204,Public-sector,HS-grad,9,2,HS graduate,0,Adm-clerical,Unmarried,United-States,<=50K,0
205,Private,11th,7,1,Less than HS graduate,0,Sales,Own-child,United-States,<=50K,0
206,Private,Bachelors,13,4,Bachelor's degree,1,Other-service,Husband,United-States,>50K,1
207,Private,HS-grad,9,2,HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
208,Self-emp,HS-grad,9,2,HS graduate,1,Sales,Wife,United-States,>50K,1
209,Private,11th,7,1,Less than HS graduate,0,Sales,Own-child,United-States,<=50K,0
210,Public-sector,HS-grad,9,2,HS graduate,1,Transport-moving,Husband,United-States,<=50K,0
211,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,>50K,1
212,Private,Some-college,10,3,Some college or associate's degree,0,Sales,Not-in-family,United-States,<=50K,0
213,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
214,Self-emp,7th-8th,4,1,Less than HS graduate,1,Machine-op-inspct,Husband,United-States,>50K,1
215,Private,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,United-States,>50K,1
216,Private,Assoc-acdm,12,3,Some college or associate's degree,0,Sales,Not-in-family,United-States,<=50K,0
217,Private,Bachelors,13,4,Bachelor's degree,1,Sales,Husband,Poland,<=50K,0
218,Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,<=50K,0
219,Private,10th,6,1,Less than HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
220,Private,Some-college,10,3,Some college or associate's degree,1,Handlers-cleaners,Husband,United-States,<=50K,0
221,?,1st-4th,2,1,Less than HS graduate,0,?,Not-in-family,United-States,<=50K,0
222,Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
223,Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,United-States,<=50K,0
224,Public-sector,Preschool,1,1,Less than HS graduate,0,Machine-op-inspct,Not-in-family,United-States,<=50K,0
225,Private,HS-grad,9,2,HS graduate,0,Sales,Own-child,United-States,<=50K,0
226,?,10th,6,1,Less than HS graduate,0,?,Not-in-family,United-States,<=50K,0
227,Self-emp,HS-grad,9,2,HS graduate,1,Farming-fishing,Husband,United-States,<=50K,0
228,Private,Assoc-voc,11,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,Colombia,<=50K,0
229,Private,HS-grad,9,2,HS graduate,0,Adm-clerical,Not-in-family,United-States,<=50K,0
230,Private,11th,7,1,Less than HS graduate,0,Transport-moving,Not-in-family,United-States,<=50K,0
231,Private,HS-grad,9,2,HS graduate,0,Sales,Unmarried,United-States,<=50K,0
232,Private,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
233,Private,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Other-relative,United-States,<=50K,0
234,Private,Prof-school,15,5,Graduate or professional degree,0,Prof-specialty,Not-in-family,United-States,>50K,1
235,Public-sector,HS-grad,9,2,HS graduate,1,Other-service,Husband,United-States,<=50K,0
236,Public-sector,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,United-States,<=50K,0
237,Private,Bachelors,13,4,Bachelor's degree,1,Exec-managerial,Husband,Iran,>50K,1
238,Public-sector,Masters,14,5,Graduate or professional degree,1,Exec-managerial,Husband,United-States,>50K,1
239,Private,HS-grad,9,2,HS graduate,0,Transport-moving,Own-child,United-States,<=50K,0
240,Private,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,United-States,>50K,1
241,Self-emp,HS-grad,9,2,HS graduate,1,Other-service,Wife,United-States,<=50K,0
242,Public-sector,Assoc-acdm,12,3,Some college or associate's degree,1,Protective-serv,Husband,United-States,<=50K,0
243,?,Some-college,10,3,Some college or associate's degree,0,?,Own-child,United-States,<=50K,0
244,Private,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,United-States,<=50K,0
245,Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,?,<=50K,0
246,Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,United-States,>50K,1
247,Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
248,Private,Assoc-acdm,12,3,Some college or associate's degree,1,Tech-support,Husband,United-States,>50K,1
249,Private,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,?,<=50K,0
250,Private,Prof-school,15,5,Graduate or professional degree,1,Prof-specialty,Wife,United-States,>50K,1
251,Private,Bachelors,13,4,Bachelor's degree,1,Adm-clerical,Wife,United-States,<=50K,0
252,Public-sector,10th,6,1,Less than HS graduate,0,Other-service,Unmarried,United-States,<=50K,0
253,Public-sector,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Own-child,United-States,<=50K,0
254,Private,Some-college,10,3,Some college or associate's degree,0,Transport-moving,Not-in-family,United-States,<=50K,0
255,Self-emp,HS-grad,9,2,HS graduate,1,Farming-fishing,Husband,Cambodia,>50K,1
256,Private,HS-grad,9,2,HS graduate,0,Other-service,Own-child,United-States,<=50K,0
257,Private,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,United-States,<=50K,0
258,Private,Assoc-voc,11,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
259,Private,7th-8th,4,1,Less than HS graduate,0,Craft-repair,Not-in-family,United-States,<=50K,0
260,Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Own-child,United-States,<=50K,0
261,Private,HS-grad,9,2,HS graduate,1,Sales,Husband,United-States,<=50K,0
262,Private,11th,7,1,Less than HS graduate,0,Other-service,Own-child,United-States,<=50K,0
263,Private,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,United-States,<=50K,0
264,Private,11th,7,1,Less than HS graduate,1,Craft-repair,Husband,United-States,<=50K,0
265,Self-emp,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,Thailand,>50K,1
266,?,Some-college,10,3,Some college or associate's degree,0,?,Own-child,Canada,<=50K,0
267,Private,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,United-States,>50K,1
268,Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
269,Private,HS-grad,9,2,HS graduate,1,Craft-repair,Wife,United-States,>50K,1
270,Private,HS-grad,9,2,HS graduate,1,Exec-managerial,Husband,United-States,>50K,1
271,Private,9th,5,1,Less than HS graduate,0,Other-service,Own-child,United-States,<=50K,0
272,Self-emp,Masters,14,5,Graduate or professional degree,1,Farming-fishing,Husband,United-States,<=50K,0
273,Public-sector,Masters,14,5,Graduate or professional degree,0,Prof-specialty,Own-child,United-States,<=50K,0
274,Private,HS-grad,9,2,HS graduate,0,Prof-specialty,Own-child,United-States,<=50K,0
275,Private,HS-grad,9,2,HS graduate,1,Handlers-cleaners,Husband,United-States,<=50K,0
276,Private,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,>50K,1
277,Private,Some-college,10,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,United-States,<=50K,0
278,Private,Some-college,10,3,Some college or associate's degree,0,Tech-support,Own-child,United-States,<=50K,0
279,Private,Some-college,10,3,Some college or associate's degree,1,Machine-op-inspct,Wife,United-States,>50K,1
280,Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,Germany,<=50K,0
281,Public-sector,Some-college,10,3,Some college or associate's degree,1,Craft-repair,Husband,United-States,>50K,1
282,Private,Assoc-acdm,12,3,Some college or associate's degree,0,Sales,Unmarried,United-States,<=50K,0
283,Private,Bachelors,13,4,Bachelor's degree,0,Prof-specialty,Not-in-family,United-States,<=50K,0
284,Private,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Own-child,United-States,<=50K,0
285,Public-sector,Masters,14,5,Graduate or professional degree,1,Sales,Husband,United-States,>50K,1
