p_id,age,workclass,fnlwgt,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_lev,education_cat_lev,education_cat
78,18,Private,309634,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,0,1,Less than HS graduate
79,31,Local-gov,125927,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0,1,Less than HS graduate
80,18,Private,446839,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,0,2,HS graduate
81,52,Private,276515,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,0,4,Bachelor's degree
82,46,Private,51618,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,0,2,HS graduate
83,59,Private,159937,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,0,2,HS graduate
84,44,Private,343591,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,1,2,HS graduate
85,53,Private,346253,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,0,2,HS graduate
86,49,Local-gov,268234,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1,2,HS graduate
87,33,Private,202051,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0,5,Graduate or professional degree
88,30,Private,54334,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0,1,Less than HS graduate
89,43,Federal-gov,410867,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,1,5,Graduate or professional degree
90,57,Private,249977,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
91,37,Private,286730,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,0,3,Some college or associate's degree
92,28,Private,212563,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,0,3,Some college or associate's degree
93,30,Private,117747,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,?,0,2,HS graduate
94,34,Local-gov,226296,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1,4,Bachelor's degree
95,29,Local-gov,115585,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,0,3,Some college or associate's degree
96,48,Self-emp-not-inc,191277,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,1,5,Graduate or professional degree
97,37,Private,202683,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,1,3,Some college or associate's degree
98,48,Private,171095,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,0,3,Some college or associate's degree
99,32,Federal-gov,249409,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,0,2,HS graduate
100,76,Private,124191,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1,5,Graduate or professional degree
101,44,Private,198282,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,1,4,Bachelor's degree
102,47,Self-emp-not-inc,149116,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,0,5,Graduate or professional degree
103,20,Private,188300,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,0,3,Some college or associate's degree
104,29,Private,103432,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0,2,HS graduate
105,32,Self-emp-inc,317660,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,1,2,HS graduate
106,17,?,304873,Never-married,?,Own-child,White,Female,34095,0,32,United-States,0,1,Less than HS graduate
107,30,Private,194901,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0,1,Less than HS graduate
108,31,Local-gov,189265,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,2,HS graduate
109,42,Private,124692,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0,2,HS graduate
110,24,Private,432376,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,0,4,Bachelor's degree
111,38,Private,65324,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,5,Graduate or professional degree
112,56,Self-emp-not-inc,335605,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,1,2,HS graduate
113,28,Private,377869,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,0,3,Some college or associate's degree
114,36,Private,102864,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,0,2,HS graduate
115,53,Private,95647,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,0,1,Less than HS graduate
116,56,Self-emp-inc,303090,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0,3,Some college or associate's degree
117,49,Local-gov,197371,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,1,3,Some college or associate's degree
118,55,Private,247552,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,0,3,Some college or associate's degree
119,22,Private,102632,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,0,2,HS graduate
120,21,Private,199915,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0,3,Some college or associate's degree
121,40,Private,118853,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0,4,Bachelor's degree
122,30,Private,77143,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany,0,4,Bachelor's degree
123,29,State-gov,267989,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1,4,Bachelor's degree
124,19,Private,301606,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,0,3,Some college or associate's degree
125,47,Private,287828,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,1,4,Bachelor's degree
126,20,Private,111697,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,0,3,Some college or associate's degree
127,31,Private,114937,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1,3,Some college or associate's degree
128,35,?,129305,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,0,2,HS graduate
129,39,Private,365739,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
130,28,Private,69621,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,0,3,Some college or associate's degree
131,24,Private,43323,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,0,2,HS graduate
132,38,Self-emp-not-inc,120985,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,0,2,HS graduate
133,37,Private,254202,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0,4,Bachelor's degree
134,46,Private,146195,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,0,3,Some college or associate's degree
135,38,Federal-gov,125933,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,1,5,Graduate or professional degree
136,43,Self-emp-not-inc,56920,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,0,2,HS graduate
137,27,Private,163127,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,0,3,Some college or associate's degree
138,20,Private,34310,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,0,3,Some college or associate's degree
139,49,Private,81973,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,1,3,Some college or associate's degree
140,61,Self-emp-inc,66614,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,2,HS graduate
141,27,Private,232782,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0,3,Some college or associate's degree
142,19,Private,316868,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,0,3,Some college or associate's degree
143,45,Private,196584,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,1,3,Some college or associate's degree
144,70,Private,105376,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
145,31,Private,185814,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,0,2,HS graduate
146,22,Private,175374,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,0,3,Some college or associate's degree
147,36,Private,108293,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,0,2,HS graduate
148,64,Private,181232,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,0,1,Less than HS graduate
149,43,?,174662,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,0,3,Some college or associate's degree
150,47,Local-gov,186009,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Mexico,0,3,Some college or associate's degree
151,34,Private,198183,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,2,HS graduate
152,33,Private,163003,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,0,4,Bachelor's degree
153,21,Private,296158,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,0,2,HS graduate
154,52,?,252903,Divorced,?,Not-in-family,White,Male,0,0,45,United-States,1,2,HS graduate
155,48,Private,187715,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,0,2,HS graduate
156,23,Private,214542,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0,4,Bachelor's degree
157,71,Self-emp-not-inc,494223,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,0,3,Some college or associate's degree
158,29,Private,191535,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,0,2,HS graduate
159,42,Private,228456,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,0,4,Bachelor's degree
160,68,?,38317,Divorced,?,Not-in-family,White,Female,0,0,20,United-States,0,1,Less than HS graduate
161,25,Private,252752,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,0,2,HS graduate
162,44,Self-emp-inc,78374,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,0,5,Graduate or professional degree
163,28,Private,88419,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,0,2,HS graduate
164,45,Self-emp-not-inc,201080,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1,5,Graduate or professional degree
165,36,Private,207157,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,0,3,Some college or associate's degree
166,39,Federal-gov,235485,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,0,3,Some college or associate's degree
167,46,State-gov,102628,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,0,5,Graduate or professional degree
168,18,Private,25828,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,0,1,Less than HS graduate
169,66,Local-gov,54826,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,0,3,Some college or associate's degree
170,27,Private,124953,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,0,2,HS graduate
171,28,State-gov,175325,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0,2,HS graduate
172,51,Private,96062,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,1,3,Some college or associate's degree
173,27,Private,428030,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,0,4,Bachelor's degree
174,28,State-gov,149624,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,4,Bachelor's degree
175,27,Private,253814,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States,0,2,HS graduate
176,21,Private,312956,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,0,2,HS graduate
177,34,Private,483777,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,0,2,HS graduate
178,18,Private,183930,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,0,2,HS graduate
179,33,Private,37274,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,0,4,Bachelor's degree
180,44,Local-gov,181344,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States,1,3,Some college or associate's degree
181,43,Private,114580,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,3,Some college or associate's degree
182,30,Private,633742,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,0,3,Some college or associate's degree
183,40,Private,286370,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,1,1,Less than HS graduate
184,37,Federal-gov,29054,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,1,3,Some college or associate's degree
185,34,Private,304030,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,0,2,HS graduate
186,41,Self-emp-not-inc,143129,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0,4,Bachelor's degree
187,53,?,135105,Divorced,?,Not-in-family,White,Female,0,0,50,United-States,0,4,Bachelor's degree
188,31,Private,99928,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,0,5,Graduate or professional degree
189,58,State-gov,109567,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,1,5,Graduate or professional degree
190,38,Private,155222,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,0,3,Some college or associate's degree
191,24,Private,159567,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
192,41,Local-gov,523910,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,0,4,Bachelor's degree
193,47,Private,120939,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,0,3,Some college or associate's degree
194,41,Federal-gov,130760,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States,0,4,Bachelor's degree
195,23,Private,197387,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,0,1,Less than HS graduate
196,36,Private,99374,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
197,40,Federal-gov,56795,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States,1,5,Graduate or professional degree
198,35,Private,138992,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States,1,5,Graduate or professional degree
199,24,Self-emp-not-inc,32921,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0,2,HS graduate
200,26,Private,397317,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,0,5,Graduate or professional degree
201,19,?,170653,Never-married,?,Own-child,White,Male,0,0,40,Italy,0,2,HS graduate
202,51,Private,259323,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1,4,Bachelor's degree
203,42,Local-gov,254817,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,0,3,Some college or associate's degree
204,37,State-gov,48211,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,0,2,HS graduate
205,18,Private,140164,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0,1,Less than HS graduate
206,36,Private,128757,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,United-States,1,4,Bachelor's degree
207,35,Private,36270,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,0,2,HS graduate
208,58,Self-emp-inc,210563,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,United-States,1,2,HS graduate
209,17,Private,65368,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,0,1,Less than HS graduate
210,44,Local-gov,160943,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,0,2,HS graduate
211,37,Private,208358,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,2,HS graduate
212,35,Private,153790,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,0,3,Some college or associate's degree
213,60,Private,85815,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0,2,HS graduate
214,54,Self-emp-inc,125417,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1,1,Less than HS graduate
215,37,Private,635913,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,1,4,Bachelor's degree
216,50,Private,313321,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,0,3,Some college or associate's degree
217,38,Private,182609,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Poland,0,4,Bachelor's degree
218,45,Private,109434,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,0,4,Bachelor's degree
219,25,Private,255004,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0,1,Less than HS graduate
220,31,Private,197860,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0,3,Some college or associate's degree
221,64,?,187656,Divorced,?,Not-in-family,White,Male,0,0,40,United-States,0,1,Less than HS graduate
222,90,Private,51744,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,0,2,HS graduate
223,54,Private,176681,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,0,2,HS graduate
224,53,Local-gov,140359,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,0,1,Less than HS graduate
225,18,Private,243313,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0,2,HS graduate
226,60,?,24215,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,0,1,Less than HS graduate
227,66,Self-emp-not-inc,167687,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States,0,2,HS graduate
228,75,Private,314209,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Columbia,0,3,Some college or associate's degree
229,65,Private,176796,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,2,HS graduate
230,35,Private,538583,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,0,1,Less than HS graduate
231,41,Private,130408,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States,0,2,HS graduate
232,25,Private,159732,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,0,3,Some college or associate's degree
233,33,Private,110978,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,0,3,Some college or associate's degree
234,28,Private,76714,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,1,5,Graduate or professional degree
