p_id,age,workclass,fnlwgt,education,education_num,education_cat_lev,education_cat,marital_status,occupation,relationship,capital_gain,capital_loss,hours_per_week,native_country,income,income_lev,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,sex_Male
166,39,Public-sector,235485,Assoc-acdm,12,3,Some college or associate's degree,0,Exec-managerial,Not-in-family,0,0,42,United-States,<=50K,0,0,0,0,0,1
167,46,Public-sector,102628,Masters,14,5,Graduate or professional degree,0,Protective-serv,Unmarried,0,0,40,United-States,<=50K,0,0,0,0,0,1
168,18,Private,25828,11th,7,1,Less than HS graduate,0,Handlers-cleaners,Own-child,0,0,16,United-States,<=50K,0,0,0,0,0,1
169,66,Public-sector,54826,Assoc-voc,11,3,Some college or associate's degree,0,Prof-specialty,Not-in-family,0,0,20,United-States,<=50K,0,0,0,0,0,0
170,27,Private,124953,HS-grad,9,2,HS graduate,0,Other-service,Not-in-family,0,1980,40,United-States,<=50K,0,0,0,0,0,1
171,28,Public-sector,175325,HS-grad,9,2,HS graduate,1,Protective-serv,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
172,51,Private,96062,Some-college,10,3,Some college or associate's degree,1,Sales,Husband,0,1977,40,United-States,>50K,1,0,0,0,0,1
173,27,Private,428030,Bachelors,13,4,Bachelor's degree,0,Craft-repair,Not-in-family,0,0,50,United-States,<=50K,0,0,0,0,0,1
174,28,Public-sector,149624,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,0,0,40,United-States,>50K,1,0,0,0,0,1
175,27,Private,253814,HS-grad,9,2,HS graduate,1,Sales,Unmarried,0,0,25,United-States,<=50K,0,0,0,0,0,0
176,21,Private,312956,HS-grad,9,2,HS graduate,0,Craft-repair,Own-child,0,0,40,United-States,<=50K,0,0,0,1,0,1
177,34,Private,483777,HS-grad,9,2,HS graduate,0,Handlers-cleaners,Not-in-family,0,0,40,United-States,<=50K,0,0,0,1,0,1
178,18,Private,183930,HS-grad,9,2,HS graduate,0,Other-service,Own-child,0,0,12,United-States,<=50K,0,0,0,0,0,1
179,33,Private,37274,Bachelors,13,4,Bachelor's degree,1,Prof-specialty,Husband,0,0,65,United-States,<=50K,0,0,0,0,0,1
180,44,Public-sector,181344,Some-college,10,3,Some college or associate's degree,1,Exec-managerial,Husband,0,0,38,United-States,>50K,1,0,0,1,0,1
181,43,Private,114580,Some-college,10,3,Some college or associate's degree,0,Adm-clerical,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
182,30,Private,633742,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,0,0,45,United-States,<=50K,0,0,0,1,0,1
183,40,Private,286370,7th-8th,4,1,Less than HS graduate,1,Machine-op-inspct,Husband,0,0,40,Mexico,>50K,1,0,0,0,0,1
184,37,Public-sector,29054,Some-college,10,3,Some college or associate's degree,1,Adm-clerical,Husband,0,0,42,United-States,>50K,1,0,0,0,0,1
185,34,Private,304030,HS-grad,9,2,HS graduate,1,Adm-clerical,Husband,0,0,40,United-States,<=50K,0,0,0,1,0,1
186,41,Self-emp,143129,Bachelors,13,4,Bachelor's degree,0,Exec-managerial,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,0
187,53,?,135105,Bachelors,13,4,Bachelor's degree,0,?,Not-in-family,0,0,50,United-States,<=50K,0,0,0,0,0,0
188,31,Private,99928,Masters,14,5,Graduate or professional degree,1,Prof-specialty,Wife,0,0,50,United-States,<=50K,0,0,0,0,0,0
189,58,Public-sector,109567,Doctorate,16,5,Graduate or professional degree,1,Prof-specialty,Husband,0,0,1,United-States,>50K,1,0,0,0,0,1
190,38,Private,155222,Some-college,10,3,Some college or associate's degree,0,Machine-op-inspct,Not-in-family,0,0,28,United-States,<=50K,0,0,0,1,0,0
191,24,Private,159567,Some-college,10,3,Some college or associate's degree,1,Machine-op-inspct,Husband,0,0,40,United-States,<=50K,0,0,0,0,0,1
192,41,Public-sector,523910,Bachelors,13,4,Bachelor's degree,1,Craft-repair,Husband,0,0,40,United-States,<=50K,0,0,0,1,0,1
193,47,Private,120939,Some-college,10,3,Some college or associate's degree,1,Tech-support,Husband,0,0,45,United-States,<=50K,0,0,0,0,0,1
194,41,Public-sector,130760,Bachelors,13,4,Bachelor's degree,1,Tech-support,Husband,0,0,24,United-States,<=50K,0,0,0,0,0,1
195,23,Private,197387,5th-6th,3,1,Less than HS graduate,1,Transport-moving,Other-relative,0,0,40,Mexico,<=50K,0,0,0,0,0,1
196,36,Private,99374,Some-college,10,3,Some college or associate's degree,0,Craft-repair,Not-in-family,0,0,40,United-States,<=50K,0,0,0,0,0,1
