age,workclass,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_lev,education_cat_lev
22,Private,175374,10,1,Other-service,Husband,4,1,0,0,24,United-States,0,3
36,Private,108293,9,0,Other-service,Unmarried,4,0,0,0,24,United-States,0,2
64,Private,181232,7,1,Craft-repair,Husband,4,1,0,2179,40,United-States,0,1
43,?,174662,10,0,?,Not-in-family,4,0,0,0,40,United-States,0,3
47,Public-sector,186009,10,0,Adm-clerical,Unmarried,4,0,0,0,38,Mexico,0,3
34,Private,198183,9,0,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,2
33,Private,163003,13,0,Exec-managerial,Other-relative,1,0,0,0,40,Philippines,0,4
21,Private,296158,9,0,Craft-repair,Own-child,4,1,0,0,35,United-States,0,2
52,?,252903,9,0,?,Not-in-family,4,1,0,0,45,United-States,1,2
48,Private,187715,9,1,Craft-repair,Husband,4,1,0,0,46,United-States,0,2
23,Private,214542,13,0,Handlers-cleaners,Not-in-family,4,1,0,0,40,United-States,0,4
71,Self-emp,494223,10,0,Sales,Unmarried,2,1,0,1816,2,United-States,0,3
29,Private,191535,9,0,Craft-repair,Not-in-family,4,1,0,0,60,United-States,0,2
42,Private,228456,13,0,Other-service,Other-relative,2,1,0,0,50,United-States,0,4
68,?,38317,2,0,?,Not-in-family,4,0,0,0,20,United-States,0,1
25,Private,252752,9,0,Other-service,Unmarried,4,0,0,0,40,United-States,0,2
44,Self-emp,78374,14,0,Exec-managerial,Unmarried,1,0,0,0,40,United-States,0,5
28,Private,88419,9,0,Exec-managerial,Not-in-family,1,0,0,0,40,England,0,2
45,Self-emp,201080,14,1,Sales,Husband,4,1,0,0,40,United-States,1,5
36,Private,207157,10,0,Other-service,Unmarried,4,0,0,0,40,Mexico,0,3
39,Public-sector,235485,12,0,Exec-managerial,Not-in-family,4,1,0,0,42,United-States,0,3
46,Public-sector,102628,14,0,Protective-serv,Unmarried,4,1,0,0,40,United-States,0,5
18,Private,25828,7,0,Handlers-cleaners,Own-child,4,1,0,0,16,United-States,0,1
66,Public-sector,54826,11,0,Prof-specialty,Not-in-family,4,0,0,0,20,United-States,0,3
27,Private,124953,9,0,Other-service,Not-in-family,4,1,0,1980,40,United-States,0,2
28,Public-sector,175325,9,1,Protective-serv,Husband,4,1,0,0,40,United-States,0,2
51,Private,96062,10,1,Sales,Husband,4,1,0,1977,40,United-States,1,3
27,Private,428030,13,0,Craft-repair,Not-in-family,4,1,0,0,50,United-States,0,4
28,Public-sector,149624,13,1,Prof-specialty,Husband,4,1,0,0,40,United-States,1,4
27,Private,253814,9,1,Sales,Unmarried,4,0,0,0,25,United-States,0,2
21,Private,312956,9,0,Craft-repair,Own-child,2,1,0,0,40,United-States,0,2
34,Private,483777,9,0,Handlers-cleaners,Not-in-family,2,1,0,0,40,United-States,0,2
18,Private,183930,9,0,Other-service,Own-child,4,1,0,0,12,United-States,0,2
33,Private,37274,13,1,Prof-specialty,Husband,4,1,0,0,65,United-States,0,4
44,Public-sector,181344,10,1,Exec-managerial,Husband,2,1,0,0,38,United-States,1,3
43,Private,114580,10,0,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,3
30,Private,633742,10,0,Craft-repair,Not-in-family,2,1,0,0,45,United-States,0,3
40,Private,286370,4,1,Machine-op-inspct,Husband,4,1,0,0,40,Mexico,1,1
37,Public-sector,29054,10,1,Adm-clerical,Husband,4,1,0,0,42,United-States,1,3
34,Private,304030,9,1,Adm-clerical,Husband,2,1,0,0,40,United-States,0,2
41,Self-emp,143129,13,0,Exec-managerial,Not-in-family,4,0,0,0,40,United-States,0,4
53,?,135105,13,0,?,Not-in-family,4,0,0,0,50,United-States,0,4
31,Private,99928,14,1,Prof-specialty,Wife,4,0,0,0,50,United-States,0,5
58,Public-sector,109567,16,1,Prof-specialty,Husband,4,1,0,0,1,United-States,1,5
38,Private,155222,10,0,Machine-op-inspct,Not-in-family,2,0,0,0,28,United-States,0,3
24,Private,159567,10,1,Machine-op-inspct,Husband,4,1,0,0,40,United-States,0,3
41,Public-sector,523910,13,1,Craft-repair,Husband,2,1,0,0,40,United-States,0,4
47,Private,120939,10,1,Tech-support,Husband,4,1,0,0,45,United-States,0,3
41,Public-sector,130760,13,1,Tech-support,Husband,4,1,0,0,24,United-States,0,4
23,Private,197387,3,1,Transport-moving,Other-relative,4,1,0,0,40,Mexico,0,1
36,Private,99374,10,0,Craft-repair,Not-in-family,4,1,0,0,40,United-States,0,3
40,Public-sector,56795,14,0,Exec-managerial,Not-in-family,4,0,14084,0,55,United-States,1,5
35,Private,138992,14,1,Prof-specialty,Other-relative,4,1,7298,0,40,United-States,1,5
24,Self-emp,32921,9,0,Sales,Not-in-family,4,1,0,0,40,United-States,0,2
26,Private,397317,14,0,Prof-specialty,Not-in-family,4,0,0,1876,40,United-States,0,5
19,?,170653,9,0,?,Own-child,4,1,0,0,40,Italy,0,2
51,Private,259323,13,1,Exec-managerial,Husband,4,1,0,0,50,United-States,1,4
42,Public-sector,254817,10,0,Prof-specialty,Not-in-family,4,0,0,1340,40,United-States,0,3
37,Public-sector,48211,9,0,Adm-clerical,Unmarried,4,0,0,0,35,United-States,0,2
18,Private,140164,7,0,Sales,Own-child,4,0,0,0,40,United-States,0,1
36,Private,128757,13,1,Other-service,Husband,2,1,7298,0,36,United-States,1,4
35,Private,36270,9,0,Craft-repair,Not-in-family,4,1,0,0,60,United-States,0,2
58,Self-emp,210563,9,1,Sales,Wife,4,0,15024,0,35,United-States,1,2
17,Private,65368,7,0,Sales,Own-child,4,0,0,0,12,United-States,0,1
44,Public-sector,160943,9,1,Transport-moving,Husband,2,1,0,0,40,United-States,0,2
37,Private,208358,9,1,Craft-repair,Husband,4,1,0,0,40,United-States,1,2
35,Private,153790,10,0,Sales,Not-in-family,0,0,0,0,40,United-States,0,3
60,Private,85815,9,1,Craft-repair,Husband,1,1,0,0,40,United-States,0,2
54,Self-emp,125417,4,1,Machine-op-inspct,Husband,4,1,0,0,40,United-States,1,1
37,Private,635913,13,0,Exec-managerial,Not-in-family,2,1,0,0,60,United-States,1,4
50,Private,313321,12,0,Sales,Not-in-family,4,0,0,0,40,United-States,0,3
38,Private,182609,13,1,Sales,Husband,4,1,0,0,50,Poland,0,4
45,Private,109434,13,1,Prof-specialty,Husband,4,1,0,0,55,United-States,0,4
25,Private,255004,6,0,Craft-repair,Not-in-family,4,1,0,0,40,United-States,0,1
31,Private,197860,10,1,Handlers-cleaners,Husband,4,1,0,0,40,United-States,0,3
64,?,187656,2,0,?,Not-in-family,4,1,0,0,40,United-States,0,1
90,Private,51744,9,0,Other-service,Not-in-family,2,1,0,2206,40,United-States,0,2
54,Private,176681,9,1,Adm-clerical,Husband,2,1,0,0,20,United-States,0,2
53,Public-sector,140359,1,0,Machine-op-inspct,Not-in-family,4,0,0,0,35,United-States,0,1
18,Private,243313,9,0,Sales,Own-child,4,0,0,0,40,United-States,0,2
60,?,24215,6,0,?,Not-in-family,0,0,0,0,10,United-States,0,1
66,Self-emp,167687,9,1,Farming-fishing,Husband,4,1,1409,0,50,United-States,0,2
75,Private,314209,11,0,Adm-clerical,Not-in-family,4,0,0,0,20,Colombia,0,3
65,Private,176796,9,0,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,2
35,Private,538583,7,0,Transport-moving,Not-in-family,2,1,3674,0,40,United-States,0,1
41,Private,130408,9,0,Sales,Unmarried,2,0,0,0,38,United-States,0,2
25,Private,159732,10,0,Adm-clerical,Not-in-family,4,1,0,0,42,United-States,0,3
33,Private,110978,10,0,Craft-repair,Other-relative,3,0,0,0,40,United-States,0,3
28,Private,76714,15,0,Prof-specialty,Not-in-family,4,1,0,0,55,United-States,1,5
59,Public-sector,268700,9,1,Other-service,Husband,4,1,0,0,40,United-States,0,2
40,Public-sector,170525,10,0,Adm-clerical,Not-in-family,4,0,0,0,38,United-States,0,3
41,Private,180138,13,1,Exec-managerial,Husband,4,1,0,0,50,Iran,1,4
38,Public-sector,115076,14,1,Exec-managerial,Husband,4,1,0,0,70,United-States,1,5
23,Private,115458,9,0,Transport-moving,Own-child,4,1,0,0,40,United-States,0,2
40,Private,347890,13,1,Prof-specialty,Husband,4,1,0,0,40,United-States,1,4
41,Self-emp,196001,9,1,Other-service,Wife,4,0,0,0,20,United-States,0,2
24,Public-sector,273905,12,1,Protective-serv,Husband,4,1,0,0,50,United-States,0,3
20,?,119156,10,0,?,Own-child,4,1,0,0,20,United-States,0,3
38,Private,179488,10,0,Craft-repair,Not-in-family,4,1,0,1741,40,United-States,0,3
56,Private,203580,9,1,Adm-clerical,Husband,4,1,0,0,35,?,0,2
58,Private,236596,9,1,Adm-clerical,Husband,4,1,0,0,45,United-States,1,2
32,Private,183916,9,0,Other-service,Not-in-family,4,0,0,0,34,United-States,0,2
40,Private,207578,12,1,Tech-support,Husband,4,1,0,1977,60,United-States,1,3
45,Private,153141,9,1,Adm-clerical,Husband,4,1,0,0,40,?,0,2
41,Private,112763,15,1,Prof-specialty,Wife,4,0,0,0,40,United-States,1,5
42,Private,390781,13,1,Adm-clerical,Wife,2,0,0,0,40,United-States,0,4
59,Public-sector,171328,6,0,Other-service,Unmarried,2,0,0,0,30,United-States,0,1
19,Public-sector,27382,10,0,Adm-clerical,Own-child,4,1,0,0,40,United-States,0,3
58,Private,259014,10,0,Transport-moving,Not-in-family,4,1,0,0,20,United-States,0,3
42,Self-emp,303044,9,1,Farming-fishing,Husband,1,1,0,0,40,Cambodia,1,2
20,Private,117789,9,0,Other-service,Own-child,4,0,0,0,40,United-States,0,2
32,Private,172579,9,0,Other-service,Not-in-family,4,0,0,0,30,United-States,0,2
45,Private,187666,11,0,Exec-managerial,Not-in-family,4,0,0,0,45,United-States,0,3
50,Private,204518,4,0,Craft-repair,Not-in-family,4,1,0,0,40,United-States,0,1
36,Private,150042,13,0,Prof-specialty,Own-child,4,0,0,0,40,United-States,0,4
45,Private,98092,9,1,Sales,Husband,4,1,0,0,60,United-States,0,2
17,Private,245918,7,0,Other-service,Own-child,4,1,0,0,12,United-States,0,1
59,Private,146013,10,1,Sales,Husband,4,1,4064,0,40,United-States,0,3
26,Private,378322,7,1,Craft-repair,Husband,4,1,0,0,40,United-States,0,1
37,Self-emp,257295,10,1,Exec-managerial,Husband,1,1,0,0,75,Thailand,1,3
19,?,218956,10,0,?,Own-child,4,1,0,0,24,Canada,0,3
64,Private,21174,9,1,Exec-managerial,Husband,4,1,0,0,40,United-States,1,2
33,Private,185480,13,0,Prof-specialty,Not-in-family,4,0,0,0,45,United-States,0,4
33,Private,222205,9,1,Craft-repair,Wife,4,0,0,0,40,United-States,1,2
61,Private,69867,9,1,Exec-managerial,Husband,4,1,0,0,40,United-States,1,2
17,Private,191260,5,0,Other-service,Own-child,4,1,1055,0,24,United-States,0,1
50,Self-emp,30653,14,1,Farming-fishing,Husband,4,1,2407,0,98,United-States,0,5
27,Public-sector,209109,14,0,Prof-specialty,Own-child,4,1,0,0,35,United-States,0,5
30,Private,70377,9,0,Prof-specialty,Own-child,4,0,0,0,40,United-States,0,2
43,Private,477983,9,1,Handlers-cleaners,Husband,2,1,0,0,40,United-States,0,2
44,Private,170924,10,1,Craft-repair,Husband,4,1,7298,0,40,United-States,1,3
35,Private,190174,10,0,Exec-managerial,Not-in-family,4,0,0,0,40,United-States,0,3
25,Private,193787,10,0,Tech-support,Own-child,4,0,0,0,40,United-States,0,3
24,Private,279472,10,1,Machine-op-inspct,Wife,4,0,7298,0,48,United-States,1,3
22,Private,34918,13,0,Prof-specialty,Not-in-family,4,0,0,0,15,Germany,0,4
42,Public-sector,97688,10,1,Craft-repair,Husband,4,1,5178,0,40,United-States,1,3
34,Private,175413,12,0,Sales,Unmarried,2,0,0,0,45,United-States,0,3
60,Private,173960,13,0,Prof-specialty,Not-in-family,4,0,0,0,42,United-States,0,4
21,Private,205759,9,0,Handlers-cleaners,Own-child,4,1,0,0,40,United-States,0,2
57,Public-sector,425161,14,1,Sales,Husband,4,1,15024,0,40,United-States,1,5
41,Private,220531,15,1,Prof-specialty,Husband,4,1,0,0,60,United-States,1,5
50,Private,176609,10,0,Other-service,Not-in-family,4,1,0,0,45,United-States,0,3
25,Private,371987,13,0,Exec-managerial,Not-in-family,4,0,0,0,40,United-States,0,4
50,Private,193884,4,1,Craft-repair,Husband,4,1,0,0,40,Ecuador,0,1
36,Private,200352,13,1,Prof-specialty,Husband,4,1,0,0,45,United-States,0,4
31,Private,127595,9,0,Prof-specialty,Not-in-family,4,0,0,0,40,United-States,0,2
29,Public-sector,220419,13,0,Protective-serv,Not-in-family,4,1,0,0,56,United-States,0,4
21,Private,231931,10,0,Sales,Own-child,4,1,0,0,45,United-States,0,3
27,Private,248402,13,0,Tech-support,Unmarried,2,0,0,0,40,United-States,0,4
65,Private,111095,9,1,Transport-moving,Husband,4,1,0,0,16,United-States,0,2
37,Self-emp,57424,13,0,Sales,Not-in-family,4,0,0,0,60,United-States,0,4
39,?,157443,14,1,?,Wife,1,0,3464,0,40,?,0,5
24,Private,278130,9,0,Craft-repair,Own-child,4,1,0,0,40,United-States,0,2
38,Private,169469,9,0,Sales,Not-in-family,4,1,0,0,80,United-States,0,2
48,Private,146268,13,1,Adm-clerical,Husband,4,1,7688,0,40,United-States,1,4
21,Private,153718,10,0,Other-service,Not-in-family,1,0,0,0,25,United-States,0,3
31,Private,217460,9,1,Transport-moving,Husband,4,1,0,0,45,United-States,1,2
55,Private,238638,9,1,Sales,Husband,4,1,4386,0,40,United-States,1,2
24,Private,303296,10,1,Adm-clerical,Wife,1,0,0,0,40,Laos,0,3
43,Private,173321,9,0,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,2
26,Private,193945,12,0,Tech-support,Not-in-family,4,1,0,0,45,United-States,0,3
46,Private,83082,12,0,Prof-specialty,Not-in-family,4,0,0,0,33,United-States,0,3
35,Private,193815,12,1,Adm-clerical,Husband,4,1,0,0,40,United-States,1,3
41,Self-emp,34987,10,1,Farming-fishing,Husband,4,1,0,0,54,United-States,1,3
26,Private,59306,13,0,Sales,Not-in-family,4,1,0,0,40,United-States,0,4
34,Private,142897,14,1,Exec-managerial,Husband,1,1,7298,0,35,Taiwan,1,5
19,?,860348,10,0,?,Own-child,2,0,0,0,25,United-States,0,3
36,Self-emp,205607,13,0,Prof-specialty,Not-in-family,2,0,0,0,40,United-States,1,4
22,Private,199698,10,0,Sales,Own-child,4,1,0,0,15,United-States,0,3
24,Private,191954,10,0,Machine-op-inspct,Not-in-family,4,1,0,0,40,United-States,0,3
77,Self-emp,138714,10,1,Sales,Husband,4,1,0,0,40,United-States,0,3
22,Private,399087,3,1,Machine-op-inspct,Other-relative,4,0,0,0,40,Mexico,0,1
29,Private,423158,10,0,Tech-support,Not-in-family,4,0,0,0,40,United-States,0,3
62,Private,159841,9,0,Other-service,Not-in-family,4,0,0,0,24,United-States,0,2
39,Self-emp,174308,9,1,Exec-managerial,Husband,4,1,0,0,40,United-States,0,2
43,Private,50356,10,1,Craft-repair,Husband,4,1,0,1485,50,United-States,0,3
35,Private,186110,9,0,Transport-moving,Not-in-family,4,1,0,0,45,United-States,0,2
