p_id,age,workclass,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_lev,education_cat_lev
86,49,Local-gov,268234,9,Married-civ-spouse,Protective-serv,Husband,4,1,0,0,40,United-States,1,2
87,33,Private,202051,14,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,50,United-States,0,5
88,30,Private,54334,5,Never-married,Sales,Not-in-family,4,1,0,0,40,United-States,0,1
89,43,Federal-gov,410867,16,Never-married,Prof-specialty,Not-in-family,4,0,0,0,50,United-States,1,5
90,57,Private,249977,11,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,40,United-States,0,3
91,37,Private,286730,10,Divorced,Craft-repair,Unmarried,4,0,0,0,40,United-States,0,3
92,28,Private,212563,10,Divorced,Machine-op-inspct,Unmarried,2,0,0,0,25,United-States,0,3
93,30,Private,117747,9,Married-civ-spouse,Sales,Wife,1,0,0,1573,35,?,0,2
94,34,Local-gov,226296,13,Married-civ-spouse,Protective-serv,Husband,4,1,0,0,40,United-States,1,4
95,29,Local-gov,115585,10,Never-married,Handlers-cleaners,Not-in-family,4,1,0,0,50,United-States,0,3
96,48,Self-emp-not-inc,191277,16,Married-civ-spouse,Prof-specialty,Husband,4,1,0,1902,60,United-States,1,5
97,37,Private,202683,10,Married-civ-spouse,Sales,Husband,4,1,0,0,48,United-States,1,3
98,48,Private,171095,12,Divorced,Exec-managerial,Unmarried,4,0,0,0,40,England,0,3
99,32,Federal-gov,249409,9,Never-married,Other-service,Own-child,2,1,0,0,40,United-States,0,2
100,76,Private,124191,14,Married-civ-spouse,Exec-managerial,Husband,4,1,0,0,40,United-States,1,5
101,44,Private,198282,13,Married-civ-spouse,Exec-managerial,Husband,4,1,15024,0,60,United-States,1,4
102,47,Self-emp-not-inc,149116,14,Never-married,Prof-specialty,Not-in-family,4,0,0,0,50,United-States,0,5
103,20,Private,188300,10,Never-married,Tech-support,Own-child,4,0,0,0,40,United-States,0,3
104,29,Private,103432,9,Never-married,Craft-repair,Not-in-family,4,1,0,0,40,United-States,0,2
105,32,Self-emp-inc,317660,9,Married-civ-spouse,Craft-repair,Husband,4,1,7688,0,40,United-States,1,2
106,17,?,304873,6,Never-married,?,Own-child,4,0,34095,0,32,United-States,0,1
107,30,Private,194901,7,Never-married,Handlers-cleaners,Own-child,4,1,0,0,40,United-States,0,1
108,31,Local-gov,189265,9,Never-married,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,2
109,42,Private,124692,9,Married-civ-spouse,Handlers-cleaners,Husband,4,1,0,0,40,United-States,0,2
110,24,Private,432376,13,Never-married,Sales,Other-relative,4,1,0,0,40,United-States,0,4
111,38,Private,65324,15,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,40,United-States,1,5
112,56,Self-emp-not-inc,335605,9,Married-civ-spouse,Other-service,Husband,4,1,0,1887,50,Canada,1,2
113,28,Private,377869,10,Married-civ-spouse,Sales,Wife,4,0,4064,0,25,United-States,0,3
114,36,Private,102864,9,Never-married,Machine-op-inspct,Own-child,4,0,0,0,40,United-States,0,2
115,53,Private,95647,5,Married-civ-spouse,Handlers-cleaners,Husband,4,1,0,0,50,United-States,0,1
116,56,Self-emp-inc,303090,10,Married-civ-spouse,Sales,Husband,4,1,0,0,50,United-States,0,3
117,49,Local-gov,197371,11,Married-civ-spouse,Craft-repair,Husband,2,1,0,0,40,United-States,1,3
118,55,Private,247552,10,Married-civ-spouse,Sales,Husband,4,1,0,0,56,United-States,0,3
119,22,Private,102632,9,Never-married,Craft-repair,Not-in-family,4,1,0,0,41,United-States,0,2
120,21,Private,199915,10,Never-married,Other-service,Own-child,4,0,0,0,40,United-States,0,3
121,40,Private,118853,13,Married-civ-spouse,Exec-managerial,Husband,4,1,0,0,60,United-States,0,4
122,30,Private,77143,13,Never-married,Exec-managerial,Own-child,2,1,0,0,40,Germany,0,4
123,29,State-gov,267989,13,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,50,United-States,1,4
124,19,Private,301606,10,Never-married,Other-service,Own-child,2,1,0,0,35,United-States,0,3
125,47,Private,287828,13,Married-civ-spouse,Exec-managerial,Wife,4,0,0,0,40,United-States,1,4
126,20,Private,111697,10,Never-married,Adm-clerical,Own-child,4,0,0,1719,28,United-States,0,3
127,31,Private,114937,12,Married-civ-spouse,Adm-clerical,Husband,4,1,0,0,40,United-States,1,3
128,35,?,129305,9,Married-civ-spouse,?,Husband,4,1,0,0,40,United-States,0,2
129,39,Private,365739,10,Divorced,Craft-repair,Not-in-family,4,1,0,0,40,United-States,0,3
130,28,Private,69621,12,Never-married,Sales,Not-in-family,4,0,0,0,60,United-States,0,3
131,24,Private,43323,9,Never-married,Other-service,Not-in-family,4,0,0,1762,40,United-States,0,2
132,38,Self-emp-not-inc,120985,9,Married-civ-spouse,Craft-repair,Husband,4,1,4386,0,35,United-States,0,2
133,37,Private,254202,13,Married-civ-spouse,Sales,Husband,4,1,0,0,50,United-States,0,4
134,46,Private,146195,12,Divorced,Tech-support,Not-in-family,2,0,0,0,36,United-States,0,3
135,38,Federal-gov,125933,14,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,40,Iran,1,5
136,43,Self-emp-not-inc,56920,9,Married-civ-spouse,Craft-repair,Husband,4,1,0,0,60,United-States,0,2
137,27,Private,163127,11,Married-civ-spouse,Adm-clerical,Wife,4,0,0,0,35,United-States,0,3
138,20,Private,34310,10,Never-married,Sales,Own-child,4,1,0,0,20,United-States,0,3
139,49,Private,81973,10,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,1,3
140,61,Self-emp-inc,66614,9,Married-civ-spouse,Craft-repair,Husband,4,1,0,0,40,United-States,0,2
141,27,Private,232782,10,Never-married,Sales,Own-child,4,0,0,0,40,United-States,0,3
142,19,Private,316868,10,Never-married,Other-service,Own-child,4,1,0,0,30,Mexico,0,3
143,45,Private,196584,11,Never-married,Prof-specialty,Not-in-family,4,0,0,1564,40,United-States,1,3
144,70,Private,105376,10,Never-married,Tech-support,Other-relative,4,1,0,0,40,United-States,0,3
145,31,Private,185814,9,Never-married,Transport-moving,Unmarried,2,0,0,0,30,United-States,0,2
146,22,Private,175374,10,Married-civ-spouse,Other-service,Husband,4,1,0,0,24,United-States,0,3
147,36,Private,108293,9,Widowed,Other-service,Unmarried,4,0,0,0,24,United-States,0,2
148,64,Private,181232,7,Married-civ-spouse,Craft-repair,Husband,4,1,0,2179,40,United-States,0,1
149,43,?,174662,10,Divorced,?,Not-in-family,4,0,0,0,40,United-States,0,3
150,47,Local-gov,186009,10,Divorced,Adm-clerical,Unmarried,4,0,0,0,38,Mexico,0,3
151,34,Private,198183,9,Never-married,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,2
152,33,Private,163003,13,Never-married,Exec-managerial,Other-relative,1,0,0,0,40,Philippines,0,4
153,21,Private,296158,9,Never-married,Craft-repair,Own-child,4,1,0,0,35,United-States,0,2
154,52,?,252903,9,Divorced,?,Not-in-family,4,1,0,0,45,United-States,1,2
155,48,Private,187715,9,Married-civ-spouse,Craft-repair,Husband,4,1,0,0,46,United-States,0,2
156,23,Private,214542,13,Never-married,Handlers-cleaners,Not-in-family,4,1,0,0,40,United-States,0,4
157,71,Self-emp-not-inc,494223,10,Separated,Sales,Unmarried,2,1,0,1816,2,United-States,0,3
158,29,Private,191535,9,Divorced,Craft-repair,Not-in-family,4,1,0,0,60,United-States,0,2
159,42,Private,228456,13,Separated,Other-service,Other-relative,2,1,0,0,50,United-States,0,4
160,68,?,38317,2,Divorced,?,Not-in-family,4,0,0,0,20,United-States,0,1
161,25,Private,252752,9,Never-married,Other-service,Unmarried,4,0,0,0,40,United-States,0,2
162,44,Self-emp-inc,78374,14,Divorced,Exec-managerial,Unmarried,1,0,0,0,40,United-States,0,5
163,28,Private,88419,9,Never-married,Exec-managerial,Not-in-family,1,0,0,0,40,England,0,2
164,45,Self-emp-not-inc,201080,14,Married-civ-spouse,Sales,Husband,4,1,0,0,40,United-States,1,5
165,36,Private,207157,10,Divorced,Other-service,Unmarried,4,0,0,0,40,Mexico,0,3
166,39,Federal-gov,235485,12,Never-married,Exec-managerial,Not-in-family,4,1,0,0,42,United-States,0,3
167,46,State-gov,102628,14,Widowed,Protective-serv,Unmarried,4,1,0,0,40,United-States,0,5
168,18,Private,25828,7,Never-married,Handlers-cleaners,Own-child,4,1,0,0,16,United-States,0,1
169,66,Local-gov,54826,11,Widowed,Prof-specialty,Not-in-family,4,0,0,0,20,United-States,0,3
170,27,Private,124953,9,Never-married,Other-service,Not-in-family,4,1,0,1980,40,United-States,0,2
171,28,State-gov,175325,9,Married-civ-spouse,Protective-serv,Husband,4,1,0,0,40,United-States,0,2
172,51,Private,96062,10,Married-civ-spouse,Sales,Husband,4,1,0,1977,40,United-States,1,3
173,27,Private,428030,13,Never-married,Craft-repair,Not-in-family,4,1,0,0,50,United-States,0,4
174,28,State-gov,149624,13,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,40,United-States,1,4
175,27,Private,253814,9,Married-spouse-absent,Sales,Unmarried,4,0,0,0,25,United-States,0,2
176,21,Private,312956,9,Never-married,Craft-repair,Own-child,2,1,0,0,40,United-States,0,2
177,34,Private,483777,9,Never-married,Handlers-cleaners,Not-in-family,2,1,0,0,40,United-States,0,2
178,18,Private,183930,9,Never-married,Other-service,Own-child,4,1,0,0,12,United-States,0,2
179,33,Private,37274,13,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,65,United-States,0,4
180,44,Local-gov,181344,10,Married-civ-spouse,Exec-managerial,Husband,2,1,0,0,38,United-States,1,3
181,43,Private,114580,10,Divorced,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,3
182,30,Private,633742,10,Never-married,Craft-repair,Not-in-family,2,1,0,0,45,United-States,0,3
183,40,Private,286370,4,Married-civ-spouse,Machine-op-inspct,Husband,4,1,0,0,40,Mexico,1,1
184,37,Federal-gov,29054,10,Married-civ-spouse,Adm-clerical,Husband,4,1,0,0,42,United-States,1,3
185,34,Private,304030,9,Married-civ-spouse,Adm-clerical,Husband,2,1,0,0,40,United-States,0,2
186,41,Self-emp-not-inc,143129,13,Divorced,Exec-managerial,Not-in-family,4,0,0,0,40,United-States,0,4
187,53,?,135105,13,Divorced,?,Not-in-family,4,0,0,0,50,United-States,0,4
188,31,Private,99928,14,Married-civ-spouse,Prof-specialty,Wife,4,0,0,0,50,United-States,0,5
189,58,State-gov,109567,16,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,1,United-States,1,5
190,38,Private,155222,10,Divorced,Machine-op-inspct,Not-in-family,2,0,0,0,28,United-States,0,3
191,24,Private,159567,10,Married-civ-spouse,Machine-op-inspct,Husband,4,1,0,0,40,United-States,0,3
192,41,Local-gov,523910,13,Married-civ-spouse,Craft-repair,Husband,2,1,0,0,40,United-States,0,4
193,47,Private,120939,10,Married-civ-spouse,Tech-support,Husband,4,1,0,0,45,United-States,0,3
194,41,Federal-gov,130760,13,Married-civ-spouse,Tech-support,Husband,4,1,0,0,24,United-States,0,4
195,23,Private,197387,3,Married-civ-spouse,Transport-moving,Other-relative,4,1,0,0,40,Mexico,0,1
196,36,Private,99374,10,Divorced,Craft-repair,Not-in-family,4,1,0,0,40,United-States,0,3
197,40,Federal-gov,56795,14,Never-married,Exec-managerial,Not-in-family,4,0,14084,0,55,United-States,1,5
198,35,Private,138992,14,Married-civ-spouse,Prof-specialty,Other-relative,4,1,7298,0,40,United-States,1,5
199,24,Self-emp-not-inc,32921,9,Never-married,Sales,Not-in-family,4,1,0,0,40,United-States,0,2
200,26,Private,397317,14,Never-married,Prof-specialty,Not-in-family,4,0,0,1876,40,United-States,0,5
201,19,?,170653,9,Never-married,?,Own-child,4,1,0,0,40,Italy,0,2
202,51,Private,259323,13,Married-civ-spouse,Exec-managerial,Husband,4,1,0,0,50,United-States,1,4
203,42,Local-gov,254817,10,Never-married,Prof-specialty,Not-in-family,4,0,0,1340,40,United-States,0,3
204,37,State-gov,48211,9,Divorced,Adm-clerical,Unmarried,4,0,0,0,35,United-States,0,2
205,18,Private,140164,7,Never-married,Sales,Own-child,4,0,0,0,40,United-States,0,1
206,36,Private,128757,13,Married-civ-spouse,Other-service,Husband,2,1,7298,0,36,United-States,1,4
207,35,Private,36270,9,Divorced,Craft-repair,Not-in-family,4,1,0,0,60,United-States,0,2
208,58,Self-emp-inc,210563,9,Married-civ-spouse,Sales,Wife,4,0,15024,0,35,United-States,1,2
209,17,Private,65368,7,Never-married,Sales,Own-child,4,0,0,0,12,United-States,0,1
210,44,Local-gov,160943,9,Married-civ-spouse,Transport-moving,Husband,2,1,0,0,40,United-States,0,2
211,37,Private,208358,9,Married-civ-spouse,Craft-repair,Husband,4,1,0,0,40,United-States,1,2
212,35,Private,153790,10,Never-married,Sales,Not-in-family,0,0,0,0,40,United-States,0,3
213,60,Private,85815,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,0,2
214,54,Self-emp-inc,125417,4,Married-civ-spouse,Machine-op-inspct,Husband,4,1,0,0,40,United-States,1,1
215,37,Private,635913,13,Never-married,Exec-managerial,Not-in-family,2,1,0,0,60,United-States,1,4
216,50,Private,313321,12,Divorced,Sales,Not-in-family,4,0,0,0,40,United-States,0,3
217,38,Private,182609,13,Married-civ-spouse,Sales,Husband,4,1,0,0,50,Poland,0,4
218,45,Private,109434,13,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,55,United-States,0,4
219,25,Private,255004,6,Never-married,Craft-repair,Not-in-family,4,1,0,0,40,United-States,0,1
220,31,Private,197860,10,Married-civ-spouse,Handlers-cleaners,Husband,4,1,0,0,40,United-States,0,3
221,64,?,187656,2,Divorced,?,Not-in-family,4,1,0,0,40,United-States,0,1
222,90,Private,51744,9,Never-married,Other-service,Not-in-family,2,1,0,2206,40,United-States,0,2
223,54,Private,176681,9,Married-civ-spouse,Adm-clerical,Husband,2,1,0,0,20,United-States,0,2
224,53,Local-gov,140359,1,Never-married,Machine-op-inspct,Not-in-family,4,0,0,0,35,United-States,0,1
225,18,Private,243313,9,Never-married,Sales,Own-child,4,0,0,0,40,United-States,0,2
226,60,?,24215,6,Divorced,?,Not-in-family,0,0,0,0,10,United-States,0,1
227,66,Self-emp-not-inc,167687,9,Married-civ-spouse,Farming-fishing,Husband,4,1,1409,0,50,United-States,0,2
228,75,Private,314209,11,Widowed,Adm-clerical,Not-in-family,4,0,0,0,20,Columbia,0,3
229,65,Private,176796,9,Divorced,Adm-clerical,Not-in-family,4,0,0,0,40,United-States,0,2
230,35,Private,538583,7,Separated,Transport-moving,Not-in-family,2,1,3674,0,40,United-States,0,1
231,41,Private,130408,9,Divorced,Sales,Unmarried,2,0,0,0,38,United-States,0,2
232,25,Private,159732,10,Never-married,Adm-clerical,Not-in-family,4,1,0,0,42,United-States,0,3
233,33,Private,110978,10,Divorced,Craft-repair,Other-relative,3,0,0,0,40,United-States,0,3
234,28,Private,76714,15,Never-married,Prof-specialty,Not-in-family,4,1,0,0,55,United-States,1,5
235,59,State-gov,268700,9,Married-civ-spouse,Other-service,Husband,4,1,0,0,40,United-States,0,2
236,40,State-gov,170525,10,Never-married,Adm-clerical,Not-in-family,4,0,0,0,38,United-States,0,3
237,41,Private,180138,13,Married-civ-spouse,Exec-managerial,Husband,4,1,0,0,50,Iran,1,4
238,38,Local-gov,115076,14,Married-civ-spouse,Exec-managerial,Husband,4,1,0,0,70,United-States,1,5
239,23,Private,115458,9,Never-married,Transport-moving,Own-child,4,1,0,0,40,United-States,0,2
240,40,Private,347890,13,Married-civ-spouse,Prof-specialty,Husband,4,1,0,0,40,United-States,1,4
241,41,Self-emp-not-inc,196001,9,Married-civ-spouse,Other-service,Wife,4,0,0,0,20,United-States,0,2
242,24,State-gov,273905,12,Married-civ-spouse,Protective-serv,Husband,4,1,0,0,50,United-States,0,3
243,20,?,119156,10,Never-married,?,Own-child,4,1,0,0,20,United-States,0,3
244,38,Private,179488,10,Divorced,Craft-repair,Not-in-family,4,1,0,1741,40,United-States,0,3
245,56,Private,203580,9,Married-civ-spouse,Adm-clerical,Husband,4,1,0,0,35,?,0,2
246,58,Private,236596,9,Married-civ-spouse,Adm-clerical,Husband,4,1,0,0,45,United-States,1,2
247,32,Private,183916,9,Never-married,Other-service,Not-in-family,4,0,0,0,34,United-States,0,2
248,40,Private,207578,12,Married-civ-spouse,Tech-support,Husband,4,1,0,1977,60,United-States,1,3
249,45,Private,153141,9,Married-civ-spouse,Adm-clerical,Husband,4,1,0,0,40,?,0,2
250,41,Private,112763,15,Married-civ-spouse,Prof-specialty,Wife,4,0,0,0,40,United-States,1,5
251,42,Private,390781,13,Married-civ-spouse,Adm-clerical,Wife,2,0,0,0,40,United-States,0,4
252,59,Local-gov,171328,6,Widowed,Other-service,Unmarried,2,0,0,0,30,United-States,0,1
253,19,Local-gov,27382,10,Never-married,Adm-clerical,Own-child,4,1,0,0,40,United-States,0,3
254,58,Private,259014,10,Never-married,Transport-moving,Not-in-family,4,1,0,0,20,United-States,0,3
255,42,Self-emp-not-inc,303044,9,Married-civ-spouse,Farming-fishing,Husband,1,1,0,0,40,Cambodia,1,2
256,20,Private,117789,9,Never-married,Other-service,Own-child,4,0,0,0,40,United-States,0,2
257,32,Private,172579,9,Separated,Other-service,Not-in-family,4,0,0,0,30,United-States,0,2
258,45,Private,187666,11,Widowed,Exec-managerial,Not-in-family,4,0,0,0,45,United-States,0,3
259,50,Private,204518,4,Divorced,Craft-repair,Not-in-family,4,1,0,0,40,United-States,0,1
260,36,Private,150042,13,Divorced,Prof-specialty,Own-child,4,0,0,0,40,United-States,0,4
261,45,Private,98092,9,Married-civ-spouse,Sales,Husband,4,1,0,0,60,United-States,0,2
262,17,Private,245918,7,Never-married,Other-service,Own-child,4,1,0,0,12,United-States,0,1
263,59,Private,146013,10,Married-civ-spouse,Sales,Husband,4,1,4064,0,40,United-States,0,3
264,26,Private,378322,7,Married-civ-spouse,Craft-repair,Husband,4,1,0,0,40,United-States,0,1
265,37,Self-emp-inc,257295,10,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,75,Thailand,1,3
266,19,?,218956,10,Never-married,?,Own-child,4,1,0,0,24,Canada,0,3
267,64,Private,21174,9,Married-civ-spouse,Exec-managerial,Husband,4,1,0,0,40,United-States,1,2
268,33,Private,185480,13,Never-married,Prof-specialty,Not-in-family,4,0,0,0,45,United-States,0,4
269,33,Private,222205,9,Married-civ-spouse,Craft-repair,Wife,4,0,0,0,40,United-States,1,2
270,61,Private,69867,9,Married-civ-spouse,Exec-managerial,Husband,4,1,0,0,40,United-States,1,2
271,17,Private,191260,5,Never-married,Other-service,Own-child,4,1,1055,0,24,United-States,0,1
272,50,Self-emp-not-inc,30653,14,Married-civ-spouse,Farming-fishing,Husband,4,1,2407,0,98,United-States,0,5
